idkunden;Nachname;Vorname;Geburtsdatum;Stadt
21042;Wazari-Zaheh;Richard Sven;1970-04-04;Iran
21043;Osbourne;Hermann;1955-06-02;Kettering
21044;Switon;Achim;1956-09-22;Kattowitz
21045;Meier;Michael;1972-06-24;Zelinograd
21046;Reyher;Christos;1966-05-25;Winnenden
21047;Borgs;Amjed;1966-08-02;Merkstein
21048;Fiedler;Mirza Waqar;1964-03-03;Altenburg
21049;Pollex;Valentin;1975-09-06;Pirna
21050;Geißler;Stanislav;1950-04-23;Augsburg
21051;Grammel;Johann Herb.;1951-04-22;?
21052;Di Paolo;Hans;1940-03-20;Ercolano / Napoli
21053;Müller;Horst Uwe;1964-11-04;Magdeburg
21054;Ali;Christos;1939-06-10;Kahrtum
21055;Berck;Athanasios;1965-06-07;Berlin
21056;Tüchert;Sascha Heinz;1973-03-17;Stuttgart
21057;Hollax;Ralf;1968-01-30;Dresden
21058;Klein;Thomas;1964-12-08;Bietigheim
21059;Bayar;Matthias;1969-01-31;Amgalan
21060;Pranjic;Roland;1942-02-20;Donji Brisnik
21061;Herzog;Andrzej;1956-01-23;Heidelberg
21062;Kubiza;Armin Harald;1962-05-25;Gaildorf
21063;Kopsch;Werner;1965-08-11;Leipzig
21064;Reghif Massano;Erwin Harald;1968-10-23;Pene / Lissabon
21065;Baskal;Emil;1934-08-17;Saniye
21066;Ruf;Pascal;1983-11-01;Stuttgart
21067;Wieterski;Thomas;1959-07-31;Wieruszow
21068;Koscierski;Frank;1953-03-01;?
21069;Keller;Oliver;1974-07-28;Kemnat
21070;Eyi;Mirko;1970-04-27;Korgon
21071;Tenda;Hans Volker;1957-12-30;Ovadas
21072;Haupt;Wolfgang;1954-10-26;Backnang
21073;Draber;Kurt;1936-09-29;Danzig
21074;Köpke;Antonio;1966-11-23;Forbach / Rastatt
21075;Zoldasbekoras;Ralf;1974-07-18;?
21076;Mährle;Helmut;1954-12-03;Stuttgart
21077;Welk;Rahman;1972-08-10;Berlin
21078;Koglin;Stefan;1962-03-15;Geesthacht
21079;Ising;Markus Johannes;1976-08-24;?
21080;Graf;Peter Christian;1956-10-23;Feuchtwangen
21081;Klauck;Akele;1966-04-11;Cottbus
21082;Mahr;Hyazinth;1963-09-24;Magstadt
21083;Schwarze;Joachim Otto;1960-02-25;Hamburg
21084;Komischke;Jozef;1963-10-13;Dresden
21085;Stypinski;Georg;1935-02-21;?
21086;Kolb;Karl-Heinz;1939-04-04;Böblingen
21087;Salhoff;Horst;1935-09-20;Cottbus
21088;Bock;Piotr;1965-07-19;Rathenow
21089;Dunn;Klaus Dieter;1959-01-27;Derry
21090;Engel;Lutz Horst;1957-05-19;Welzheim
21091;Hauschild;Siegfried;1974-08-24;?
21092;Ökreten;Otto;1957-04-06;Pazarcik
21093;Blatt;Sven;1965-06-11;Wendel
21094;Poturica;Zoltan;1965-08-30;Osijek
21095;Castrovilli;Thomas;1964-03-07;Canosa Di Puglia
21096;Lüdtke;Olaf;1968-09-16;Gerabronn
21097;Suttner;Gero;1942-01-26;München
21098;Povidzion;Klaus;1945-09-01;Wolynregion
21099;Szymannski;Samuel;1966-03-06;Glogow
21100;Koscierski;Dirk;1979-11-09;?
21101;Meyer;Marco;1974-03-20;Güstrow
21102;Minutoli;Manfred;1941-06-15;Barcellona Pozzo di Gotto
21103;Moutot;Santhakumar;1966-02-21;Nadoh
21104;Bässgen;Alfred;1952-08-24;Dürnau
21105;Tournaidis;Martin;1954-11-18;Vyronia
21106;Chatelain;Winfried Anton;1942-05-14;Paris
21107;Susic;Karl;1954-09-08;Bukovac
21108;Occhilupo;Mike;1967-04-02;Zug / Schweiz
21109;Holzner;Maurizio;1964-11-16;Bopfingen
21110;Nunes Rodrigues Freymayer;Andreas Karl Dieter;1966-01-17;Sao Paolo
21111;Kienbaum;Werner;1948-03-24;Bonn
21112;Schleif;Reinhold;1954-04-30;?
21113;Roers;Markus;1975-09-11;Münster
21114;Schmidt;Udo;1967-11-27;Eisenach
21115;Feigl;Marcello;1979-01-08;Küps vorm. Hain
21116;Hornig;Nusret;1985-08-28;Heidelberg
21117;Dehner;Oiul;1982-12-05;Grosselfingen
21118;Glinka;Muneer;1964-08-19;Ravensburg
21119;Weinke;Germano;1959-11-09;?
21120;Kennecke;Udo;1957-05-11;Schkeuditz
21121;Dedie;Caner;1975-08-05;Solingen
21122;Felsko;Yusuf;1969-02-24;Troisdorf
21123;Deisroth;Piotr;1978-10-20;Pirmasens
21124;Weah;Hermann Josef;1936-07-21;Morovia
21125;Mönch;Peter;1960-03-03;Zwenkau / Sachsen
21126;Bildat;Manfred;1958-02-19;?
21127;Faust;Andreas;1969-11-04;?
21128;Franchi;Sascha;1988-01-10;Stuttgart
21129;Zerber;Markus;1964-11-26;Gräfenberg
21130;Pohl;Lubomir;1955-10-21;Elsterwerda
21131;Strobel;Yavuz;1970-03-26;Stuttgart
21132;Herzog;Michael;1948-07-02;Heidelberg
21133;Schaaf;Karl-Gottlieb;1945-04-11;Frankfurt / Oder
21134;Biehle;Stefan;1951-08-11;?
21135;Fuhler;Gerold Stefan;1946-07-05;Brilon / Sauerland / NRW
21136;Ludwig;Bernhard Michael;1972-07-10;Peitz
21137;Möwes;Oliver;1965-08-30;Bernau bei Berlin
21138;Van der zee;Klaus-Dieter;1975-05-30;Apeldoorn
21139;Mohr;Comel;1952-11-22;Osnabrück
21140;Remus;Peter;1955-02-15;Cisnadie
21141;Bouhadjeb;Horst;1979-04-22;Maghnia
21142;Schimming;Goran;1982-05-03;?
21143;Brochwitz;Uwe;1959-07-29;Alf
21144;Röhlich;Jassem;1966-07-05;Meistersdorf / CSSR
21145;Strominski;Herrmann;1971-04-29;Ratibor / Polen
21146;Stornberg;Robert James;1969-04-15;Emden
21147;Döring;Shaochuang;1969-01-19;Schwäbisch Hall
21148;Häbich;Frank;1962-05-20;Stuttgart
21149;Brausewetter;Raphael;1979-10-25;Leonberg
21150;Karadag;Björn;1977-05-23;Ankara
21151;Starzmann;Roland;1957-04-16;Esslingen-Berkheim
21152;xyz;Andreas Detlef;1969-12-21;x
21153;Mann;Nedyalko Spasov;1981-07-26;Nürnberg
21154;Schramm;Peter;1959-06-24;Ludwigslust
21155;Görgens;Stefan;1959-01-02;Bensberg
21156;Totta;Wolfgang Helmut;1948-05-20;Sannicandro Garganico (FG)
21157;Kleinert;Benjamin;1972-01-14;Hildburghausen
21158;Elia;Uwe;1961-04-03;Herford
21159;Schöffel;Karl Peter;1945-03-17;Mannheim
21160;Westphahl;Dieter;1939-11-07;Stralsund
21161;Maierböck;Armin;1963-08-15;Ulm
21162;Müller;Manfred;1942-09-27;?
21163;Sage;Heinz Georg K;1935-06-03;Magdeburg
21164;Goncalves;Norbert;1958-08-19;Curros Valpacos
21165;Tiedemann;Roland;1943-09-18;Rostock
21166;Kiesewetter;Thomas;1967-06-01;Ottmachau
21167;Stoniewski;Charles;1960-12-10;?
21168;Kees;Stephan;1969-05-30;Iserlohn
21169;Haberl;Rene;1970-08-18;Stuttgart
21170;Eckert;Manfred Johannes;1963-12-17;Eppingen
21171;Munir Kmudir;Louis;1970-02-05;Bagdad
21172;Schulz;Peter;1942-11-28;Braunschweig
21173;Lukasczyk;Horst;1961-08-24;Byton / Polen
21174;Witkowski;Thomas;1963-11-04;Cosel
21175;Wolschina;Lothar;1953-02-03;Blankenburg  (Harz )
21176;Hofmann;Salvatore;1951-09-21;Ludwigsburg
21177;Goncalves;Christoph - Günther;1963-06-24;Curros Valpacos
21178;Fuchs;Ionel;1974-07-10;Neuenburg / Enzkreis
21179;Kiefel;Peter;1961-11-17;Duschandbe/UDSSR
21180;Kroner;Ronald;1961-09-27;Ötisheim
21181;Vogel;Demovas;1973-09-15;Creussen / Bayreuth
21182;Stotz;Krzystof;1965-10-24;Stuttgart
21183;Fuchs;Andreas;1972-06-21;Neuenburg / Enzkreis
21184;Dos santo brito;Horst Wolfram;1957-08-09;Sebastiao da Pedreira
21185;Sievers;Heinz-Jürgen;1946-03-14;Bad Segeberg
21186;Kraus;bbb;1934-03-21;Dannenberg
21187;Druck;Gerd;1940-01-09;Kaiserslautern
21188;Majic;Wilhelm;1949-09-16;Stuttgart
21189;Shakhnovsky;Manuel;1978-10-04;Moskau / Russland
21190;Cholewa;Alexander;1978-04-10;?
21191;Gerrits;Sven;1968-10-22;Niewwlensen
21192;Khourshid;Roland;1973-01-10;Kairo
21193;Geyer;Norbert;1941-09-09;Danzweiler
21194;Mihaila;Karl-Heinz;1949-02-05;Roman
21195;Roso;Jürgen Rainer;1973-01-14;?
21196;Manig;Wolfgang Joachim;1955-06-09;?
21197;Griesse;Frank Ernst;1959-03-05;Siegen
21198;Stucky;Sirin;1956-01-01;?
21199;Bischoff;Armand;1972-01-27;Helmbrechts
21200;Erdlen;Rifet;1947-06-14;Heidenheim
21201;Tsitsiklis;Martin KarlHeinz;1969-03-25;Stuttgart
21202;Buck;Brahima;1965-08-04;?
21203;Schramm;Giovanni;1964-07-25;Sindelfingen
21204;Herrmann;Robert;1968-01-16;Stuttgart Bad-Cannstatt
21205;Schlöcker;Gerd;1958-04-13;Bernburg
21206;Kokeny;Wolfgang;1941-12-12;Rimavska sobota
21207;Schmöe;Alfred;1952-08-24;Villingen
21208;Glaser;Terrence Michael;1965-07-17;Wien
21209;Jehova;Sebastian;1980-05-14;x
21210;Galyar;Uwe;1958-07-15;Kosice
21211;Ederle;Heiko Gustav;1967-03-25;Bruchsal
21212;Skoczny;Andreas;1963-11-29;Mannheim
21213;Pelc;Richard;1963-04-04;Koszalin
21214;Grupp;Vizir;1969-05-11;Stuttgart
21215;Krenzel;Ferhat;1981-05-25;Varel
21216;Wolschina;Andreas;1978-12-28;Blankenburg  (Harz )
21217;Israel;Adnane;1981-08-26;Gittersee
21218;Rosenmayer;Ulrich Günther;1951-02-06;Schw. Gmünd
21219;Wagner;Helmut;1941-06-25;Stuttgart-Bad Cannstatt
21220;Roos;Wilhelm Adolf Helmut;1934-05-07;Bremen
21221;Kastner;Michael;1953-05-11;Stavenhageben
21222;István;Siegfried;1949-04-13;Budapest 22 (Magyarország)
21223;Bischoff;Rainer Egon;1969-02-04;Helmbrechts
21224;Yassin;Johann Jakob;1965-12-13;Asmara
21225;Mbayo;Alexander;1970-09-09;Kongolo
21226;Lindner;Walter;1948-12-01;Schwäbisch Gmünd
21227;Schlegel;Josef;1938-07-25;Dortmund
21228;Hinterlechner;Javier Jesus;1969-12-24;Steyr
21229;Radic;Karl - Heinz;1950-04-08;Rimavska Sobota
21230;Faiß;Gerd Rainer;1957-09-23;Tübingen
21231;Fountoulis;Viktor;1976-09-06;Athene (GR)
21232;Özcelik;Günter W.;1953-08-28;Türkei
21233;Maierböck;Vasilios;1935-08-18;Ulm
21234;Jablonski;Andreas;1976-04-04;Bytom
21235;Dargatz;Frank;1968-12-18;Villingen
21236;Langenfeld;Jürgen;1960-05-25;Bonn
21237;Witte;Ewald;1931-12-08;Reuden-Predel  Krs. Zeitz
21238;Pfitzenmaier;Hartmut Peter;1957-08-18;Stuttgart
21239;Grassmel;Karl-Heinz;1958-01-17;Vetschau
21240;Sasu;Özkan;1982-03-22;Hermannstadt
21241;Diesener;Willi;1953-09-12;Charlottenburg
21242;Nolte;Walte;1932-01-14;Einbeck
21243;Abulaesov;Thorsten Heinrich;1969-03-05;Tatapctah
21244;Berthold;Konstantinos;1967-11-24;Berlin-Neukölln
21245;Erb;Vidmantas;1963-02-09;Königsberg
21246;Klepatz;Marcel;1980-11-28;Saarburg
21247;Lemke;Rolf Rudi;1958-06-07;St. Petersburg
21248;Peters;Dieter;1946-06-11;Solingen
21249;Schmidt;Emerson;1973-01-27;Nürtingen
21250;Kyriakidis;Detlef;1967-05-04;Thessaloniki
21251;Kemme;Jürgen;1965-04-05;Bielefeld
21252;Constantinidis;Frank Georg Werner;1967-07-20;Nürnberg
21253;Nitsche;Hans-Joachim;1948-04-12;Waldshut
21254;Totterwitz;Oliver;1974-06-20;Freitall
21255;Schulze;Rene;1976-06-21;?
21256;Maisenbacher;Martin;1978-02-14;Waiblingen
21257;Babbel;Andreas;1963-05-29;Siegen
21258;Constantinidis;Peter;1958-04-19;Nürnberg
21259;Helfer;Uwe;1964-08-02;Fulda
21260;Ayari;Peter;1957-11-18;Kasserine
21261;Olenschuk;Reinhard,Willem,Pieter;1922-07-28;Stuttgart
21262;Fitsum;Jovan;1942-05-26;Stuttgart
21263;Stiegler;Rudolf;1956-03-26;?
21264;Krülich;Zoran;1980-07-14;?
21265;Kapelanski;Heiko;1970-09-19;Stuttgart
21266;Lojza;Matthias;1960-06-12;Heilbronn
21267;Bilger;Renato;1973-05-05;Mulhouse
21268;Ruff;Dietmar;1963-02-28;Iljitsch
21269;Golz;Dieter;1957-03-19;Bad Wildbad
21270;Schiedel;Heribert Josef;1953-07-19;Stuttgart
21271;Bakies;Axel;1963-01-05;Velbert
21272;Kramer;Vecheslav;1959-02-05;Semiosernoe
21273;Bubeck;Uwe;1960-07-13;Stuttgart
21274;Kir;Vic;1975-04-26;Merisn
21275;Szczeszek;Uwe;1961-04-22;?
21276;Metzger;Reinhold;1955-10-06;Öhringen
21277;Hebenstreit;Sebastian;1980-05-14;Döbeln / Sachsen
21278;Von bergmann;Ulrich;1948-02-20;Weinheim
21279;Gelfert;Manfred;1949-09-07;Rastatt
21280;Rumpf;Reinhard;1953-12-20;Butzbach
21281;Sievers;Thomas;1957-11-21;Bad Segeberg
21282;Petrovic;Jiri;1957-03-15;Vitez
21283;Rackowiak;Ronny Hans Michael;1985-09-27;Köln
21284;Korb;Wolfgang Alfred;1954-07-30;Heilbronn
21285;Tscharnke;Antonio;1947-03-08;Berlin
21286;Schmitz;Kiril Venchov;1978-09-04;Buenos Aires
21287;Deters;Oscar;1972-08-23;
21288;Wrona;David Michael;1976-05-07;Hindenburg
21289;Weinke;Tolga;1973-10-06;?
21290;Velatovac;Reinhold;1955-10-06;Banja Luka
21291;Hoard;Markus;1978-08-14;Erlangen
21292;Leis;Matthias;1963-07-02;?
21293;Russo;Michael;1960-11-11;Cariati
21294;Lutz;Stefan;1979-11-02;Zelinograd
21295;Bauer;Hans-Udo;1947-06-23;München
21296;Rafique;Reinhard;1954-05-05;Gujvat
21297;Lakhal;Helmut;1957-02-25;Casablanca
21298;Wallwitz;Anton Fritz;1952-04-06;Roßlau-Elbe
21299;Stuhlert;Tobias  Hans  Hugo;1980-01-20;Loebau Sevilla
21300;Jung;Ahmed;1974-05-05;Stuttgart
21301;Hermann;Uwe Heinz;1959-02-18;München
21302;Wüstemann;Chebik ben Azbuz;1972-10-28;Eschwege / Hessen
21303;Moreira Carvahlo;Rolf;1961-06-29;Felgueiras St.-Eulalia
21304;Weber;Rainer;1959-06-08;München
21305;Cesarz;Danut;1980-12-07;Siegburg
21306;Roszner;Siegfried;1945-12-10;Stuttgart
21307;Dinner;Horst;1933-09-29;Stuttgart
21308;Lorenc;Günther Fritz;1952-06-05;Gumpols (Humpolec)
21309;Stiepan;Hasan Mohamad;1975-04-23;Pollotitz
21310;Quirschfeld;Henno-Friedr.;1967-02-13;Roznava
21311;Meier;Gregor Walter;1951-07-09;Wolfen
21312;DE Pizzol;Paschalis;1965-09-30;Moriago Della Battaglia
21313;Franke;Frank Martin;1973-05-10;?
21314;Denk;Rolf;1935-04-04;Heilbronn
21315;Stefan;Uwe Karl Heinz;1970-08-23;Stuttgart
21316;Temeheimonot;Andrejus;1974-06-30;Asmarah
21317;Göltenboth;Markus;1978-06-01;Stuttgart
21318;Kanters;Peter;1963-08-29;Alblasserdam
21319;Venz;Gerhard;1947-05-16;Rostock
21320;Körner;Reinhard;1932-02-03;Waiblingen
21321;Burigk geb. Kretschmer;Uwe;1972-07-10;Erkner
21322;Andrzejczak;Andreas;1977-12-18;Gdansk
21323;Nothnagel;Joachim;1971-12-19;?
21324;Kostovic;Alexander;1971-03-27;Stuttgart
21325;Gey;Hamid;1962-09-28;Markranstädt
21326;Bergner;Ewald Alexander;1972-03-13;Greiz
21327;Önsüz;Dominik Michael;1974-05-29;Sarbrücken
21328;Cvetanovic;Stefan;1959-01-02;Gorcinci / Babusnica
21329;Kern;Ewald;1976-11-30;Finsterwalde
21330;Recic;Thomas Heinrich;1969-10-20;Vukovar
21331;Jäkle;Franz;1976-04-19;Alpirsbach
21332;Stephhens;Zilhard;1960-10-13;London
21333;Grelka;Willem Alexander;1968-10-31;?
21334;Haji Mohammed;Wolfgang Günter;1952-05-12;Mosl
21335;Trautner;Volker;1954-06-21;?
21336;Skobelev;Bernd;1958-11-29;Petersburg
21337;Dorner;Alexander;1971-03-27;Urach
21338;Liefke;Peter;1966-12-20;Neuheim
21339;Koller;Werner;1948-03-24;Freyung
21340;Freisinger;Robert Jozef;1987-05-17;Fellheim
21341;Wentzel;Johann;1938-11-03;Bremerhaven
21342;Johr;Karl-Heinz;1940-03-14;Eberswalde
21343;Ziegler;Holger Horst;1956-06-20;Stuttgart
21344;Lange;Maik;1975-06-04;Kirchheim Teck
21345;Rahmani;Ronny Hans Michael;1985-09-27;Casablanca
21346;Kurczak;Tevfik;1963-01-25;Bochnia
21347;Weinfurtner;Michael;1976-10-20;Nürnberg
21348;Reuter;Frank;1972-07-26;?
21349;Saganowski;Heino Markus;1974-06-28;Jejenia Gora
21350;Fares;Robert;1962-12-29;Port Said
21351;Schmoranz;Martin Bernd;1952-11-28;Nördlingen
21352;Tudor;Raimund Otto;1949-02-28;Girlita
21353;El Moussati;Velissarios;1969-06-09;Temsamane
21354;Moutot;Walter;1940-09-26;Nadoh
21355;Ohl geb. Knissel;Salvatore;1942-12-04;Reichenbach Steegen
21356;Mortaji;Hubert;1965-05-21;Bijar
21357;Roso;Hans -Georg;1952-07-04;?
21358;Böhme;Efstathios;1963-12-26;Zeitz
21359;Knauß;Jörg Eberhard;1957-10-30;München
21360;Eilers;Hugo;1938-06-05;Bockhorn / Niedersachsen
21361;Singh;Harald Hans;1952-10-21;Sadh Pur
21362;Schlecht;Lothar Manfred Artur;1937-08-08;Sindelfingen
21363;Hoque;Peter Michael;1957-05-13;Dhaka
21364;Özbay;Ulrich;1963-02-28;Gross-Umstadt
21365;Pucks;Matthias;1965-03-31;Stuttgart-Bad Cannstatt
21366;Zürn;Josef;1938-07-25;Gommersdorf/Künzelsau
21367;Wollny;Erwin;1949-10-05;?
21368;Jung;Markus;1973-12-02;Schorndorf
21369;Wüstemann;Marco a vicen;1983-01-06;Eschwege / Hessen
21370;Busch;Miljenko;1932-08-24;Günzburg
21371;Jabke;Andrzej;1956-01-23;Pliesdorf
21372;Akarpinar;Arthur;1953-12-10;Adana
21373;Remsey;Thomas;1971-05-15;?
21374;Seiler;Alfred Georg;1972-04-08;Neuwied
21375;Jakubowski;Ewald Wilhelm;1935-09-03;Barnaul
21376;Humpf;Mario;1957-01-30;Stuttgart
21377;Hesse;Rumo Michael;1966-06-03;?
21378;Dimofte;Armand;1972-01-27;Onesti
21379;Deye;Lech;1951-07-27;Kinston upon Thames
21380;Kopp;Stefan Jürgen;1975-12-31;Remscheid
21381;Losse;Jürgen;1949-02-15;Prenzlau
21382;Klaus;Thomas;1965-03-09;?
21383;Appel;Robert;1949-11-29;Rheinkamp
21384;Bender;Heinrich;1947-02-05;Schwäbisch Gmünd
21385;Jahn;Siegfried Arthur;1948-07-14;Stuttgart
21386;Dos santo brito;Manfred;1933-02-12;Sebastiao da Pedreira
21387;Drexelius;Alexander Werner;1983-07-28;Nagold
21388;Widrinski;Hans Günther;1950-06-04;Streitkirch-heute Borucin
21389;Stadler;Jürgen-Hermann;1953-08-03;Passau
21390;Leiter;Norbert Gerorg;1956-11-19;Zinnowitz
21391;Sollner;Eberhard;1936-12-21;?
21392;Kazimierczak;Hans-Jürgen;1962-10-28;?
21393;Eckert;Joachim;1958-05-11;Eppingen
21394;Jagoda;Hans-Herbert Franz;1951-07-04;Koblenz-Neuendorf
21395;Jablonski;Dietmar;1948-07-30;Bytom
21396;Sievers;Erfan;1974-08-23;Bad Segeberg
21397;Tybel;Otto;1927-08-24;Sokal
21398;Kutscher;Michael Mike;1975-09-28;Saalfeld (Saale)
21399;Kramer;Marc Georg;1965-12-29;Göppingen
21400;Akyol;Stefan;1966-02-16;Altintas
21401;Garisch;Bernd Thomas;1958-09-25;Breslau
21402;Ade;Werner;1939-12-13;Vaihingen Enz
21403;Schott;Siegfried Ernst;1951-01-28;München
21404;Schott;Dieter Emil;1954-04-18;München
21405;Apostolopoulos;Bülent;1978-01-28;Larisis / Nikaia
21406;Junker;Thomas;1964-02-21;Kirn-Stadt
21407;Haug;Bernhard Georg;1953-06-19;Ostrach
21408;Stooß;Peter;1963-12-24;Stuttgart
21409;Stein;Vitali;1971-10-04;Oberrot
21410;Rosenmayer;Thomas;1960-11-11;Schw. Gmünd
21411;Sousa Ribeiro;Robert;1959-05-20;S. Pedro Da Cova - Gondomar
21412;Sulkowski;Fabian Sandro;1977-06-19;Koszalin
21413;Koller;Evagelos;1942-01-10;Freyung
21414;Wolfmaier;Jörg;1969-11-22;Ludwigsburg
21415;Ottemann;Horst;1979-04-22;Apolda
21416;Buse;Kai Uwe;1979-05-29;Stuttgart
21417;Schulz;Manuel;1985-10-01;Tülkubas
21418;Quirin;Manfred Eugen;1950-03-24;Leonberg
21419;Pühringer;Bernd;1973-01-19;Stuttgart
21420;Pancur;Manfred-Hans;1954-02-19;Vrhpolje
21421;Gerstung;Andreas;1968-12-29;Göttingen
21422;Krauß;Miroslav;1965-05-20;Stuttgart
21423;Soutouglou;Frank Roland;1960-03-13;Kappadokiko
21424;Milewski;Franz;1962-05-21;?
21425;Schneider;Joachim;1959-04-26;?
21426;Nana;Lothar;1950-04-27;Bangou
21427;Müller;Helmut;1977-05-05;Leipzig
21428;Becker;Benjamin;1978-11-08;Nauroth / Rheinland-Pfalz
21429;Draheim;Vitali;1971-10-04;Jarmen
21430;Bühring;Michael Thomas;1967-08-10;Magdeburg
21431;Quigley;Martin;1966-11-28;Salford
21432;Bauersfeld;Zbigniew;1949-09-15;Leipzig
21433;Sorgatz;Karl-Heinz Jürgen;1940-03-14;Heilbronn
21434;Kanters;Friedrich;1951-08-06;Alblasserdam
21435;Werner;Frank;1959-05-07;?
21436;Scholl;Georgios;1955-10-02;ESSEN
21437;Richter;Mohammed Reza;1961-03-29;Saalfeld
21438;Ververs;Frank Reiner;1957-12-10;Oosterhout
21439;Sild;Norbert;1962-04-10;Belise, Val.Povo
21440;Frank;Ritch  Ronald;1971-06-17;Heilbronn
21441;Yogendra Singh;Miroslav Ivanov;1972-10-24;?
21442;Utz;Michael;1972-01-17;Stuttgart
21443;Ahmed;Uwe;1960-07-13;Mirpur
21444;Anguita;Thomas Graziano;1966-01-18;Madrid
21445;Armand;Michael;1972-04-24;Bangou
21446;Atalay;Armin;1976-11-17;Schüttorf
21447;Schmidt;Andreas;1973-04-16;?
21448;Metin;Karl Heinz;1922-12-26;Kavagedik
21449;Sachenidis;James;1970-01-01;Dramas
21450;Tamen;Mario;1982-09-24;Beaugaire
21451;Sörgel;Harry Herbert;1948-11-26;Varel
21452;Kraus;Yunus;1984-01-19;?
21453;Heyer geb. Ostermair;Gabor;1957-12-30;München
21454;Rateau;Uwe Janos;1957-04-05;Clichy
21455;Kienle;Ulrich;1956-05-23;Mosbach
21456;Zanella;Hubert;1938-11-04;Conegliano
21457;Nöhles;Bernd Robert;1957-11-22;Rathenow
21458;Kulikov;Thomas;1965-03-09;Shirnovsk
21459;Richter;Tarik;1972-11-17;Freudenstadt
21460;Dürr;Hartmut Peter;1957-08-18;Dußlingen
21461;Helfrich;Karl-Heinz;1958-01-17;Griesbach im Rottall
21462;Kostyukovskiy;Eduard;1973-07-25;St. Petersburg
21463;Da Encarnacao Gordinho da Silva;Avelino Manuel Das;1965-08-29;Tomar
21464;Wever;Raimund Otto;1949-02-28;Artesia
21465;Fliegauf;Stefan Wolfgang;1961-01-14;Lauda / Main-Tauber-Kreis
21466;Anthofer;Wolfgang;1957-12-24;Fürth
21467;Kosler;Hans Dieter;1942-08-08;Gräfenhainichen
21468;Karzon;Joachim;1953-03-27;Stuttgart
21469;Müller;Stephan Wilfried;1967-11-23;Leubsdorf/Neuwied
21470;Wentorf;Ohahru;1967-08-21;Wuppertal - Elberfeld
21471;Postiglione;Robert James;1969-04-15;Frattaminore
21472;Schieck;Ingo;1971-04-24;Stuttgart - Weilimdorf
21473;Stefan;Wolfgang  Georg;1959-11-01;Stuttgart
21474;Redies;Mohammad Hassan;1964-07-20;Hannover
21475;Bialon;Walter;1948-11-15;Sosnowitz
21476;Schips;Mladen;1972-12-31;Schw.-Gmünd
21477;Schramm;Calin;1954-03-24;Ludwigslust
21478;Triantafyllidis;Manfred;1967-01-17;Heilbronn
21479;Weigel;Zeljko;1972-06-01;Stuttgart
21480;Cvetanovic;Dieter;1952-04-07;Gorcinci / Babusnica
21481;Schulz;Erich;1944-04-18;Schanbach
21482;Ziege;Daniel - Oliver;1968-08-16;?
21483;Gissa;Brahima;1965-08-04;?
21484;Decker;Siegfried;1933-11-23;Oldenburg
21485;Richter;Markus Helge;1964-12-17;Buchholz
21486;Karayaz;Sergej;1972-11-09;Adana
21487;Kraus;Kai Johannes;1969-01-23;Dannenberg
21488;Kienle;Jörg;1953-06-01;Mosbach
21489;Noe;Kazimierz Jozef;1961-04-15;Worms
21490;Farinaccio;Peter;1963-12-24;Stuttgart
21491;Braun;Stepan;1972-01-14;Kerepestarca(Magyaropszoag)
21492;Berck;Klaus;1971-05-31;Berlin
21493;Mende;Thomas;1957-11-21;Schwaan
21494;Linz;Torsten otto kurt;1966-10-20;Suhl
21495;Salaicis;Sami;1973-11-01;Erlenbach am Main
21496;Dumeier;Michael;1956-03-30;Kassel
21497;Misgna;Yakup;1987-12-17;Asmara
21498;Strähnz;Wolfgang;1972-07-08;Wurzen
21499;Heimermann;Udo;1966-07-20;Bad Neuenahr
21500;Samir;Michael;1980-01-31;Sayeda /Kairo
21501;Dimov;Cateno;1979-11-02;Pazardzhik
21502;König;Craig;1978-08-26;Lehnin
21503;Kober;Said;1967-10-12;Kirchheim unter Teck
21504;Lihtar;Bernhard;1959-09-04;Virovitica
21505;Döllen;Michael;1963-04-26;Rastede
21506;Hristov;Helmut;1957-10-15;Skrat
21507;Nuoffer;Rolf;1951-07-22;Reutlingen
21508;Leitner;Johann;1955-12-25;Groß-Hermsdorf
21509;Wawrzyniak;Hans-Georg;1951-09-11;Gryfino
21510;Wonsak;Peter;1962-02-14;Eschwege
21511;Lofink;Josef;1928-07-29;Waiblingen
21512;Filz;Vasyl;1977-11-06;Stuttgart-Bad Cannstadt
21513;Nitsche;Michael;1978-07-13;Waldshut
21514;Reinecke;Peter;1937-10-14;Hannover
21515;Schulz;Wilhelm;1932-07-04;Neumünster
21516;Jäckle;Gordon Gerhard;1958-02-18;Sankt Georgen
21517;Müller;Georgios;1983-07-26;Stuttgart-Bad Cannstatt
21518;Fuhler;André;1968-03-11;Brilon / Sauerland / NRW
21519;Schrick;Kai Uwe;1967-05-13;Köln
21520;Richert;Alejandro Fab.;1969-02-24;Stuttgart-Bad Cannstatt
21521;Ilausky;Salvatore;1966-05-15;Ishewsk
21522;Stoermer;Detlef;1968-03-21;Insterburg / Ostpreußen
21523;Dargatz;Enrico;1973-09-22;Villingen
21524;Horinka;Jürgen;1961-11-12;Skalica
21525;Soutouglou;Osman;1972-10-01;Kappadokiko
21526;Arsentjew;Tobias;1983-07-26;Lemberg
21527;Schulz;Hans Klaus;1946-04-21;Schanbach
21528;Jankovic;Alfred;1957-03-25;Ub
21529;Borissov;Lutz Matthias;1963-07-25;T.Tyila
21530;Knabenschuh;Roland;1943-01-15;Gladbeck
